interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,spp
2025-01-05T09:30:00-06:00,2025-01-05 15:30:00+00:00,2025-01-05T09:45:00-06:00,2025-01-05 15:45:00+00:00,SBEAN_BESS,-21.76
2025-01-05T09:45:00-06:00,2025-01-05 15:45:00+00:00,2025-01-05T10:00:00-06:00,2025-01-05 16:00:00+00:00,SBEAN_BESS,-22.19
2025-01-05T10:00:00-06:00,2025-01-05 16:00:00+00:00,2025-01-05T10:15:00-06:00,2025-01-05 16:15:00+00:00,SBEAN_BESS,-14.99
2025-01-05T10:15:00-06:00,2025-01-05 16:15:00+00:00,2025-01-05T10:30:00-06:00,2025-01-05 16:30:00+00:00,SBEAN_BESS,-14.7
2025-01-05T10:30:00-06:00,2025-01-05 16:30:00+00:00,2025-01-05T10:45:00-06:00,2025-01-05 16:45:00+00:00,SBEAN_BESS,-12.7
2025-01-05T10:45:00-06:00,2025-01-05 16:45:00+00:00,2025-01-05T11:00:00-06:00,2025-01-05 17:00:00+00:00,SBEAN_BESS,-4.49
2025-01-05T11:00:00-06:00,2025-01-05 17:00:00+00:00,2025-01-05T11:15:00-06:00,2025-01-05 17:15:00+00:00,SBEAN_BESS,-4.44
2025-01-05T11:15:00-06:00,2025-01-05 17:15:00+00:00,2025-01-05T11:30:00-06:00,2025-01-05 17:30:00+00:00,SBEAN_BESS,-4.08
2025-01-05T11:30:00-06:00,2025-01-05 17:30:00+00:00,2025-01-05T11:45:00-06:00,2025-01-05 17:45:00+00:00,SBEAN_BESS,-3.81
2025-01-05T11:45:00-06:00,2025-01-05 17:45:00+00:00,2025-01-05T12:00:00-06:00,2025-01-05 18:00:00+00:00,SBEAN_BESS,-2.94
2025-01-05T12:00:00-06:00,2025-01-05 18:00:00+00:00,2025-01-05T12:15:00-06:00,2025-01-05 18:15:00+00:00,SBEAN_BESS,-5.07
2025-01-05T12:15:00-06:00,2025-01-05 18:15:00+00:00,2025-01-05T12:30:00-06:00,2025-01-05 18:30:00+00:00,SBEAN_BESS,-2.32
