interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,spp
2025-07-06T09:30:00-05:00,2025-07-06 14:30:00+00:00,2025-07-06T09:45:00-05:00,2025-07-06 14:45:00+00:00,SBEAN_BESS,23.95
2025-07-06T09:45:00-05:00,2025-07-06 14:45:00+00:00,2025-07-06T10:00:00-05:00,2025-07-06 15:00:00+00:00,SBEAN_BESS,23.59
2025-07-06T10:00:00-05:00,2025-07-06 15:00:00+00:00,2025-07-06T10:15:00-05:00,2025-07-06 15:15:00+00:00,SBEAN_BESS,23.42
2025-07-06T10:15:00-05:00,2025-07-06 15:15:00+00:00,2025-07-06T10:30:00-05:00,2025-07-06 15:30:00+00:00,SBEAN_BESS,23.72
2025-07-06T10:30:00-05:00,2025-07-06 15:30:00+00:00,2025-07-06T10:45:00-05:00,2025-07-06 15:45:00+00:00,SBEAN_BESS,22.86
2025-07-06T10:45:00-05:00,2025-07-06 15:45:00+00:00,2025-07-06T11:00:00-05:00,2025-07-06 16:00:00+00:00,SBEAN_BESS,22.58
2025-07-06T11:00:00-05:00,2025-07-06 16:00:00+00:00,2025-07-06T11:15:00-05:00,2025-07-06 16:15:00+00:00,SBEAN_BESS,23.28
2025-07-06T11:15:00-05:00,2025-07-06 16:15:00+00:00,2025-07-06T11:30:00-05:00,2025-07-06 16:30:00+00:00,SBEAN_BESS,22.22
2025-07-06T11:30:00-05:00,2025-07-06 16:30:00+00:00,2025-07-06T11:45:00-05:00,2025-07-06 16:45:00+00:00,SBEAN_BESS,22.74
2025-07-06T11:45:00-05:00,2025-07-06 16:45:00+00:00,2025-07-06T12:00:00-05:00,2025-07-06 17:00:00+00:00,SBEAN_BESS,22.44
2025-07-06T12:00:00-05:00,2025-07-06 17:00:00+00:00,2025-07-06T12:15:00-05:00,2025-07-06 17:15:00+00:00,SBEAN_BESS,21.68
2025-07-06T12:15:00-05:00,2025-07-06 17:15:00+00:00,2025-07-06T12:30:00-05:00,2025-07-06 17:30:00+00:00,SBEAN_BESS,21.17
2025-07-06T12:30:00-05:00,2025-07-06 17:30:00+00:00,2025-07-06T12:45:00-05:00,2025-07-06 17:45:00+00:00,SBEAN_BESS,21.38
