interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,spp
2025-07-07T14:00:00-05:00,2025-07-07 19:00:00+00:00,2025-07-07T15:00:00-05:00,2025-07-07 20:00:00+00:00,SBEAN_BESS,33.55
2025-07-07T15:00:00-05:00,2025-07-07 20:00:00+00:00,2025-07-07T16:00:00-05:00,2025-07-07 21:00:00+00:00,SBEAN_BESS,31.8
2025-07-07T16:00:00-05:00,2025-07-07 21:00:00+00:00,2025-07-07T17:00:00-05:00,2025-07-07 22:00:00+00:00,SBEAN_BESS,31.67
2025-07-07T17:00:00-05:00,2025-07-07 22:00:00+00:00,2025-07-07T18:00:00-05:00,2025-07-07 23:00:00+00:00,SBEAN_BESS,33.64
2025-07-07T18:00:00-05:00,2025-07-07 23:00:00+00:00,2025-07-07T19:00:00-05:00,2025-07-08 00:00:00+00:00,SBEAN_BESS,41.3
2025-07-07T19:00:00-05:00,2025-07-08 00:00:00+00:00,2025-07-07T20:00:00-05:00,2025-07-08 01:00:00+00:00,SBEAN_BESS,62.04
2025-07-07T20:00:00-05:00,2025-07-08 01:00:00+00:00,2025-07-07T21:00:00-05:00,2025-07-08 02:00:00+00:00,SBEAN_BESS,76.37
2025-07-07T21:00:00-05:00,2025-07-08 02:00:00+00:00,2025-07-07T22:00:00-05:00,2025-07-08 03:00:00+00:00,SBEAN_BESS,59.86
2025-07-07T22:00:00-05:00,2025-07-08 03:00:00+00:00,2025-07-07T23:00:00-05:00,2025-07-08 04:00:00+00:00,SBEAN_BESS,56.76
2025-07-07T23:00:00-05:00,2025-07-08 04:00:00+00:00,2025-07-08T00:00:00-05:00,2025-07-08 05:00:00+00:00,SBEAN_BESS,54.36
2025-07-08T00:00:00-05:00,2025-07-08 05:00:00+00:00,2025-07-08T01:00:00-05:00,2025-07-08 06:00:00+00:00,SBEAN_BESS,48.26
2025-07-08T01:00:00-05:00,2025-07-08 06:00:00+00:00,2025-07-08T02:00:00-05:00,2025-07-08 07:00:00+00:00,SBEAN_BESS,44.43
2025-07-08T02:00:00-05:00,2025-07-08 07:00:00+00:00,2025-07-08T03:00:00-05:00,2025-07-08 08:00:00+00:00,SBEAN_BESS,43.67
2025-07-08T03:00:00-05:00,2025-07-08 08:00:00+00:00,2025-07-08T04:00:00-05:00,2025-07-08 09:00:00+00:00,SBEAN_BESS,42.17
2025-07-08T04:00:00-05:00,2025-07-08 09:00:00+00:00,2025-07-08T05:00:00-05:00,2025-07-08 10:00:00+00:00,SBEAN_BESS,44.62
2025-07-08T05:00:00-05:00,2025-07-08 10:00:00+00:00,2025-07-08T06:00:00-05:00,2025-07-08 11:00:00+00:00,SBEAN_BESS,45.37
2025-07-08T06:00:00-05:00,2025-07-08 11:00:00+00:00,2025-07-08T07:00:00-05:00,2025-07-08 12:00:00+00:00,SBEAN_BESS,48.23
2025-07-08T07:00:00-05:00,2025-07-08 12:00:00+00:00,2025-07-08T08:00:00-05:00,2025-07-08 13:00:00+00:00,SBEAN_BESS,31.62
2025-07-08T08:00:00-05:00,2025-07-08 13:00:00+00:00,2025-07-08T09:00:00-05:00,2025-07-08 14:00:00+00:00,SBEAN_BESS,20.17
2025-07-08T09:00:00-05:00,2025-07-08 14:00:00+00:00,2025-07-08T10:00:00-05:00,2025-07-08 15:00:00+00:00,SBEAN_BESS,18.56
2025-07-08T10:00:00-05:00,2025-07-08 15:00:00+00:00,2025-07-08T11:00:00-05:00,2025-07-08 16:00:00+00:00,SBEAN_BESS,21.49
2025-07-08T11:00:00-05:00,2025-07-08 16:00:00+00:00,2025-07-08T12:00:00-05:00,2025-07-08 17:00:00+00:00,SBEAN_BESS,23.97
2025-07-08T12:00:00-05:00,2025-07-08 17:00:00+00:00,2025-07-08T13:00:00-05:00,2025-07-08 18:00:00+00:00,SBEAN_BESS,26.94
