interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,spp
2025-01-06T14:00:00-06:00,2025-01-06 20:00:00+00:00,2025-01-06T15:00:00-06:00,2025-01-06 21:00:00+00:00,SBEAN_BESS,21.15
2025-01-06T15:00:00-06:00,2025-01-06 21:00:00+00:00,2025-01-06T16:00:00-06:00,2025-01-06 22:00:00+00:00,SBEAN_BESS,21.92
2025-01-06T16:00:00-06:00,2025-01-06 22:00:00+00:00,2025-01-06T17:00:00-06:00,2025-01-06 23:00:00+00:00,SBEAN_BESS,31.37
2025-01-06T17:00:00-06:00,2025-01-06 23:00:00+00:00,2025-01-06T18:00:00-06:00,2025-01-07 00:00:00+00:00,SBEAN_BESS,67.63
2025-01-06T18:00:00-06:00,2025-01-07 00:00:00+00:00,2025-01-06T19:00:00-06:00,2025-01-07 01:00:00+00:00,SBEAN_BESS,94.59
2025-01-06T19:00:00-06:00,2025-01-07 01:00:00+00:00,2025-01-06T20:00:00-06:00,2025-01-07 02:00:00+00:00,SBEAN_BESS,90.27
2025-01-06T20:00:00-06:00,2025-01-07 02:00:00+00:00,2025-01-06T21:00:00-06:00,2025-01-07 03:00:00+00:00,SBEAN_BESS,81.91
2025-01-06T21:00:00-06:00,2025-01-07 03:00:00+00:00,2025-01-06T22:00:00-06:00,2025-01-07 04:00:00+00:00,SBEAN_BESS,66.61
2025-01-06T22:00:00-06:00,2025-01-07 04:00:00+00:00,2025-01-06T23:00:00-06:00,2025-01-07 05:00:00+00:00,SBEAN_BESS,60.44
2025-01-06T23:00:00-06:00,2025-01-07 05:00:00+00:00,2025-01-07T00:00:00-06:00,2025-01-07 06:00:00+00:00,SBEAN_BESS,67.72
2025-01-07T00:00:00-06:00,2025-01-07 06:00:00+00:00,2025-01-07T01:00:00-06:00,2025-01-07 07:00:00+00:00,SBEAN_BESS,71.72
2025-01-07T01:00:00-06:00,2025-01-07 07:00:00+00:00,2025-01-07T02:00:00-06:00,2025-01-07 08:00:00+00:00,SBEAN_BESS,68.24
2025-01-07T02:00:00-06:00,2025-01-07 08:00:00+00:00,2025-01-07T03:00:00-06:00,2025-01-07 09:00:00+00:00,SBEAN_BESS,67.7
2025-01-07T03:00:00-06:00,2025-01-07 09:00:00+00:00,2025-01-07T04:00:00-06:00,2025-01-07 10:00:00+00:00,SBEAN_BESS,65.5
2025-01-07T04:00:00-06:00,2025-01-07 10:00:00+00:00,2025-01-07T05:00:00-06:00,2025-01-07 11:00:00+00:00,SBEAN_BESS,71.11
2025-01-07T05:00:00-06:00,2025-01-07 11:00:00+00:00,2025-01-07T06:00:00-06:00,2025-01-07 12:00:00+00:00,SBEAN_BESS,90.9
2025-01-07T06:00:00-06:00,2025-01-07 12:00:00+00:00,2025-01-07T07:00:00-06:00,2025-01-07 13:00:00+00:00,SBEAN_BESS,127.87
2025-01-07T07:00:00-06:00,2025-01-07 13:00:00+00:00,2025-01-07T08:00:00-06:00,2025-01-07 14:00:00+00:00,SBEAN_BESS,123.78
2025-01-07T08:00:00-06:00,2025-01-07 14:00:00+00:00,2025-01-07T09:00:00-06:00,2025-01-07 15:00:00+00:00,SBEAN_BESS,58.92
2025-01-07T09:00:00-06:00,2025-01-07 15:00:00+00:00,2025-01-07T10:00:00-06:00,2025-01-07 16:00:00+00:00,SBEAN_BESS,31.27
2025-01-07T10:00:00-06:00,2025-01-07 16:00:00+00:00,2025-01-07T11:00:00-06:00,2025-01-07 17:00:00+00:00,SBEAN_BESS,27.43
2025-01-07T11:00:00-06:00,2025-01-07 17:00:00+00:00,2025-01-07T12:00:00-06:00,2025-01-07 18:00:00+00:00,SBEAN_BESS,24.58
2025-01-07T12:00:00-06:00,2025-01-07 18:00:00+00:00,2025-01-07T13:00:00-06:00,2025-01-07 19:00:00+00:00,SBEAN_BESS,24.57
